2017520	Corynespora cespitosa (Ellis & Barthol.) M.B. Ellis, 1963
2566072	Ateuchus costatus
92511	Curtibacterium sp. B20
269815	Plebejidea
760003	Typhlops fornasini
1027823	Trimeresurus tonkinensis
1112029	Oceanites maorianus (Mathews, 1912)
3741	Achras zapota
1915214	Conidiocarpus plumeriae
1233488	Vibrio parahaemolyticus phage vpms1
2087015	Amauronematus sp. BIOUG24556-B11
220343	Wagnerdoeblera nectariphila
3367319	Papilio javanus javanus
1606549	Barbus aurotaeniatus
1871981	Theridion herbigrada
334413	Finegoldia magna strain ATCC 29328
1777616	Cercopis ephippium
2821250	Gonatocerus minor
2994720	Buccinum caudatum
77917	Ristella naviformis
2733407	Bakuella (Pseudobakuella) guangdongica
943326	Angelocarpa brevicaulis
515123	Influenza A virus (A/Human/YAMANASHI/80/2005(H3N2))
2074842	Farrowia seminuda
27722	Gadus luscus
1055894	Bothaella kleini
3411300	Servula neotermitis
549114	Apis xanthomelana
1381240	Influenza A virus (A/chicken/Italy/1081/99(H7N1))
284611	Lichen stigmatellus
1674146	Candidatus Borrelia mayonii
1507367	Trochilus jardini
1899473	Trimeresurus fucatus
2733908	Mesoprion fuscescens
829833	Isoptera sp. BOLD:AAK6278
2218020	Glycaspis forcipata
3015643	Convolvulus platycarpos
246296	Porites angulata
298874	Uncinula forestalis
1034382	Rickettsiella sp. 'Costelytra zealandica'
1228236	Influenza A virus (A/Tottori/ST553/2009(H1N1))
456883	Influenza A virus (A/swine/Dotlingen/IDT4735/2005(H1N2))
1827022	Carios boueti
2005692	Salmonella virus SETP7
572694	Idiasta jft02
1628171	Anabaena variabilis SERB 45
183555	Vesperugo maderensis
180038	Psychotria oleoides
154034	Lebistes melanogaster
420260	Thalassiosira sp. CCMP 1064
1911465	Nosema legeri
52805	Cicada tredecim
50790	Pomacentrus trimaculatus
185899	Human rhinovirus type 26
362603	Trifolium productum
265115	Helvella californica
395287	Carex lugens
2231591	Todirhamphus cinnamominus pelewensis
3039330	Lernaella stagnicola
12851	Tomato spotted wilt virus (strain Brazilian BR-03)
350892	Beta vulgaris var. maritima
443748	Mugil forsteri
1454371	Veronica insularis Nakai, 1917 non Cheeseman, 1897
1177926	Bacillus sp. KACC 16563
649717	Photopsis inconspicuus
1412572	Salmonella enterica subsp. enterica serovar Enteritidis str. SA01AB10101301
1032596	Cortinarius subpurpurascens
2585904	Oxynetra (Olafia) roscius iphimedia
3367615	Wukongus californicus
169169	Influenza A virus (swine/Cotes d'Armor/1482/99(H1N1))
1207531	PhoxocephalidaeNZD sp. 38
123330	Protomyctophum anderssoni
1606538	Satyrus dryas var. paupera
337196	Phaius francoisii
97383	bacterium 5apy
320255	Papilio eupheme
193482	Loasa speciosa
1982577	Erwinia virus Ea9-2
2845186	Lactococcus virus 96403
2607409	Sphaleromyces bruchii
2963601	Ovipennis incompletostriga
230335	Chamaeleo gutturalis
1186369	Tovomita spB7
271983	Lithocolletis pygmaea
1589298	Vibrio cholerae phage Phi 3
2821658	Neocosmospora epipeda
178890	Psittacus manilatus
815008	Acari sp. BOLD:AAH6538
96393	Ceratocystis brevicollis
638347	Nassophorea sp. NAS-uniden-spec-01
32219	Amelanchier florida
2	Bacteria (ex Cavalier-Smith 1987)
319561	Rhamnus vitis-idaea
2607093	Ipomoea paludicola J.R.I.Wood & Scotland, 2015
2494730	Gomphonella sp. JZim-2018b
187143	Columba afra
1890907	Arctophyto
